Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Ukraine,UKR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,59686,199111,195612,183380,196226,197170,195181,184273,143343,110652,100077,101371,136260,..,..,..,..,..
United States,USA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,135557,..,..,..,..,575132,887458,672416,611514,..,446256,88850,104711,141533,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Education Statistics - All Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/25/2024,,,,,,,,,,,,,,,,,,,,,,,
